Program,Fault
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, world!"";
    std::string reversed_text = text;
    std::reverse(reversed_text.begin(), reversed_text.end());
    
    if (text == reversed_text) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }
    
    return 0;
}",if (text == reversed_text)
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test string with some spaces."";
    std::string cleaned_text = text;

    // Remove leading and trailing whitespace
    cleaned_text.erase(0, cleaned_text.find_first_not_of("" ""));
    cleaned_text.erase(cleaned_text.find_last_not_of("" "") + 1);

    // Convert to uppercase
    std::transform(cleaned_text.begin(), cleaned_text.end(), cleaned_text.begin(), ::toupper);

    std::cout << cleaned_text << std::endl;
    return 0;
}","cleaned_text.erase(0, cleaned_text.find_first_not_of("" ""));"
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test string with spaces."";
    std::string reversed_text = text;
    std::reverse(reversed_text.begin(), reversed_text.end());
    if (text == reversed_text) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }
    return 0;
}",if (text == reversed_text)
"#include <iostream>
#include <string>

int main() {
    std::string message = ""Hello, world!"";
    size_t len = message.length();

    for (size_t i = 0; i < len; ++i) {
        if (message[i] == '!') {
            message[i] = '*'; // Attempting to change the exclamation mark
        }
    }

    std::cout << message << std::endl;
    return 0;
}","if (message[i] == '!') {
            message[i] = '*'; // Attempting to change the exclamation mark
        }"
"#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test string."";
    std::string pattern = ""test"";

    size_t pos = text.find(pattern, 0);

    if (pos != std::string::npos) {
        text.replace(pos, pattern.length(), ""replacement"");
    }

    std::cout << text << std::endl;
    return 0;
}","text.replace(pos, pattern.length(), ""replacement"");"
"#include <vector>
#include <numeric>
#include <iostream>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <algorithm>

int main() {
    int arr[] = {5, 2, 8, 1, 9, 4};
    int n = sizeof(arr) / sizeof(arr[0]);

    // Sort the array in ascending order
    std::sort(arr, arr + n);

    // Find the second largest element
    int second_largest = arr[n - 2];  // Fault: Accessing out-of-bounds if n is 1

    std::cout << ""Second largest element: "" << second_largest << std::endl;
    return 0;
}",int second_largest = arr[n - 2];
"#include <algorithm>
#include <vector>
#include <iostream>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    std::vector<int> sorted_data = data;
    std::sort(sorted_data.begin(), sorted_data.begin() + data.size() - 1); // Fault: Incorrect end iterator
    
    std::cout << ""Original: "";
    for (int x : data) {
        std::cout << x << "" "";
    }
    std::cout << std::endl;
    
    std::cout << ""Sorted:   "";
    for (int x : sorted_data) {
        std::cout << x << "" "";
    }
    std::cout << std::endl;

    return 0;
}",sorted_data.begin() + data.size() - 1
"#include <iostream>
#include <string>

int main() {
    std::string message = ""Hello, world!\n"";
    std::cout << message.substr(0, 5) << std::endl; // Intended to print ""Hello""
    return 0;
}","std::cout << message.substr(0, 5) << std::endl;"
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string input = ""hello world"";
    std::string reversed_input = input;
    std::reverse(reversed_input.begin(), reversed_input.end());

    if (input == reversed_input) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }

    return 0;
}",if (input == reversed_input)
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test string for palindrome check."";
    std::string cleaned_text = """";
    for (char c : text) {
        if (std::isalpha(c)) {
            cleaned_text += std::tolower(c);
        }
    }
    std::string reversed_text = cleaned_text;
    std::reverse(reversed_text.begin(), reversed_text.end());
    if (cleaned_text == reversed_text) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }
    return 0;
}",if (cleaned_text == reversed_text)
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  
  // Calculate the sum of even numbers
  int sum_even = 0;
  for (int number : numbers) {
    if (number % 2 == 0) {
      sum_even = sum_even + number;
    }
  }
  
  // Incorrect: Accumulating the sum into sum_odd instead
  int sum_odd = std::accumulate(numbers.begin(), numbers.end(), 0);
  
  std::cout << ""Sum of even numbers: "" << sum_even << std::endl;
  std::cout << ""Sum of all numbers: "" << sum_odd << std::endl;

  return 0;
}","int sum_odd = std::accumulate(numbers.begin(), numbers.end(), 0);"
"#include <iostream>
#include <cmath>

int main() {
  double radius = 5.0;
  double area = M_PI * radius * radius;
  double circumference = 2 * M_PI * radius;

  std::cout << ""Radius: "" << radius << std::endl;
  std::cout << ""Area: "" << area << std::endl;
  std::cout << ""Circumference: "" << circumference * 0.5 << std::endl; //Faulty line

  return 0;
}",circumference * 0.5
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area == expected_area) {
        std::cout << ""Area is correct!"" << std::endl;
    } else {
        std::cout << ""Area is incorrect. Calculated: "" << area << std::endl;
    }

    // Demonstrating incorrect truncation for floating-point comparison
    double x = 3.14159;
    double y = 3.14;

    if (x == y) {
        std::cout << ""x and y are equal (incorrectly)"" << std::endl;
    } else {
        std::cout << ""x and y are not equal"" << std::endl;
    }
    
    return 0;
}",if (x == y)
"#include <iostream>
#include <string>
#include <algorithm>

std::string reverseWords(std::string s) {
    std::string result = """";
    std::string word = """";
    for (char c : s) {
        if (c == ' ') {
            std::reverse(word.begin(), word.end());
            result += word + "" "";
            word = """";
        } else {
            word += c;
        }
    }
    std::reverse(word.begin(), word.end());
    result += word;
    return result;
}

int main() {
    std::string input = ""the sky is blue"";
    std::string reversed = reverseWords(input);
    std::cout << reversed << std::endl;
    return 0;
}","std::reverse(word.begin(), word.end());"
"#include <string>
#include <sstream>
#include <iostream>

int main() {
    std::string input = ""12.34"";
    std::stringstream ss(input);
    double value;
    ss >> value;
    if (ss.fail()) {
        std::cerr << ""Conversion failed!"" << std::endl;
        return 1;
    }
    
    double result = value * 2.0;
    std::cout << ""Result: "" << result << std::endl;
    return 0;
}",if (ss.fail())
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  std::vector<int> even_numbers;

  for (int i = 0; i < numbers.size(); ++i) {
    if (numbers[i] % 2 == 0) {
      even_numbers.push_back(numbers[i]);
    }
  }

  // Incorrect calculation of the sum of even numbers
  int sum = 0;
  for (int i = 0; i < even_numbers.size() - 1; ++i) {
    sum += even_numbers[i];
  }

  std::cout << ""Sum of even numbers: "" << sum << std::endl;

  return 0;
}",for (int i = 0; i < even_numbers.size() - 1; ++i)
"#include <numeric>
#include <vector>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
    
    // Calculate the product of all elements, but mistakenly using accumulate with multiplication instead of std::accumulate
    int product = std::accumulate(data.begin(), data.end(), 0, *)
    ;
    
    std::cout << ""Product: "" << product << std::endl;
    return 0;
}","int product = std::accumulate(data.begin(), data.end(), 0, *);"
"#include <iostream>
#include <algorithm>

int main() {
    int arr[] = {5, 2, 8, 1, 9, 4};
    int n = sizeof(arr) / sizeof(arr[0]);
    int target = 7;

    int* result = std::find(arr, arr + n, target);

    if (result == arr + n) {
        std::cout << ""Target not found."" << std::endl;
    } else {
        std::cout << ""Target found at index: "" << result - arr << std::endl;
    }

    int arr2[] = {10, 20, 30, 40, 50};
    int n2 = sizeof(arr2) / sizeof(arr2[0]);
    int target2 = 60;  // Incorrect target value.
    int* result2 = std::find(arr2, arr2 + n2, target2);

    if (result2 == arr2 + n2) {
        std::cout << ""Target2 not found."" << std::endl;
    } else {
        std::cout << ""Target2 found at index: "" << result2 - arr2 << std::endl;
    }

    return 0;
}",int target2 = 60;  // Incorrect target value.
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
    int target = 7;

    // Find the index of the target value
    auto it = std::find(numbers.begin(), numbers.end(), target);

    if (it != numbers.end()) {
        std::cout << ""Target found at index: "" << std::distance(numbers.begin(), it) << std::endl;
    } else {
        std::cout << ""Target not found."" << std::endl;
    }

    // Increment the index by one before accessing the element
    int index = std::distance(numbers.begin(), it) + 1;
    std::cout << ""Element at incremented index: "" << numbers[index] << std::endl;

    return 0;
}","int index = std::distance(numbers.begin(), it) + 1;"
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> ages;
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    std::string name = ""David"";
    
    if (ages.count(name)) {
        std::cout << ""Age of "" << name << "": "" << ages[name] << std::endl;
    } else {
        std::cout << ""Age of "" << name << "" is not found."" << std::endl;
    }

    return 0;
}",ages[name]
"#include <vector>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  
  // Calculate the sum of even numbers
  int sum_even = 0;
  for (int i = 0; i < numbers.size(); ++i) {
    if (numbers[i] % 2 == 0)
      sum_even += numbers[i];
  }
  
  // Incorrectly calculate the sum of odd numbers
  int sum_odd = 0;
  for (int i = 0; i < numbers.size(); ++i) {
    if (numbers[i] % 2 != 0) {
      sum_even += numbers[i];
    }
  }
  
  std::cout << ""Sum of even numbers: "" << sum_even << std::endl;
  std::cout << ""Sum of odd numbers: "" << sum_odd << std::endl;
  
  return 0;
}",sum_even += numbers[i];
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> ages; 
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    std::string name = ""David"";
    int age = ages[name]; // Accessing a non-existent key
    std::cout << ""Age of "" << name << "": "" << age << std::endl; 
    return 0;
}",int age = ages[name];
"#include <random> 
#include <vector>
#include <algorithm>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd()); 
    std::uniform_int_distribution<> distrib(1, 100);

    std::vector<int> numbers(10);
    for (int i = 0; i < 10; ++i) {
        numbers[i] = distrib(gen);
    }

    // Find the largest number in the vector
    int largest = numbers[0];
    for (int i = 1; i <= 10; ++i) { // Fault: Loop condition is incorrect
        if (numbers[i] > largest) {
            largest = numbers[i];
        }
    }

    std::cout << ""Largest number: "" << largest << std::endl;
    return 0;
}",i <= 10
"#include <iostream>
#include <map>
#include <string>

int main() {
    std::map<std::string, int> counts;
    counts[""apple""] = 5;
    counts[""banana""] = 3;
    counts[""orange""] = 7;

    int total = 0;
    for (const auto& pair : counts) {
        total += pair.first;  // Incorrectly adding the key (string) instead of the value (int)
    }

    std::cout << ""Total count: "" << total << std::endl;
    return 0;
}",total += pair.first;
"#include <iostream>
#include <map>
#include <string>

int main() {
  std::map<std::string, int> ages;
  ages[""Alice""] = 30;
  ages[""Bob""] = 25;
  ages[""Charlie""] = 40;

  std::string name = ""David"";
  int age = ages[name]; // Potential underflow
  std::cout << ""David's age: "" << age << std::endl;
  return 0;
}",int age = ages[name];
"#include <vector>
#include <algorithm>

int main() {
  std::vector<int> data = {5, 2, 8, 1, 9, 4};
  int target = 7;

  std::vector<int> result = data;
  std::sort(result.begin(), result.end());

  auto it = std::find(result.begin(), result.end(), target);
  if (it != result.end()) {
    std::cout << ""Target found at index: "" << std::distance(data.begin(), it) << std::endl;
  } else {
    std::cout << ""Target not found."" << std::endl;
  }

  return 0;
}","std::distance(data.begin(), it)"
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double circumference = 2 * M_PI * radius;
    double area = M_PI * radius * radius;

    // Incorrectly calculates the area by using radius twice in the multiplication
    double faulty_area = M_PI * radius * radius * radius;

    std::cout << ""Radius: "" << radius << std::endl;
    std::cout << ""Circumference: "" << circumference << std::endl;
    std::cout << ""Correct Area: "" << area << std::endl;
    std::cout << ""Faulty Area: "" << faulty_area << std::endl;
    return 0;
}",double faulty_area = M_PI * radius * radius * radius;
"#include <string>
#include <algorithm>

int main() {
  std::string text = ""This is a test string."";
  std::string pattern = ""test"";

  size_t pos = text.find(pattern, 10); // Start searching from index 10

  if (pos != std::string::npos) {
    std::cout << ""Pattern found at position: "" << pos << std::endl;
  } else {
    std::cout << ""Pattern not found."" << std::endl;
  }

  return 0;
}","text.find(pattern, 10)"
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    
    // Calculate the sum of squares, but mistakenly use 'numbers' instead of 'numbers.begin()'.
    int sum_of_squares = std::accumulate(numbers, numbers.end(), 0, [](int a, int b) { return a + (b * b); });
    
    std::cout << ""Sum of squares: "" << sum_of_squares << std::endl;
    return 0;
}","std::accumulate(numbers, numbers.end(), 0, [](int a, int b) { return a + (b * b); });"
"#include <algorithm>
#include <vector>
#include <numeric>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  std::vector<int> even_numbers;

  std::copy_if(data.begin(), data.end(), std::back_inserter(even_numbers), [](int n){ return n % 2 == 0; });

  int sum = std::accumulate(even_numbers.begin(), even_numbers.end(), 0.0);
  std::cout << ""Sum of even numbers: "" << sum << std::endl;
  return 0;
}",0.0
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
    int sum = 0;
    std::for_each(data.begin(), data.end(), [&](int x) { sum += x; });
    
    std::vector<int> odd_numbers;
    std::copy_if(data.begin(), data.end(), std::back_inserter(odd_numbers), [](int x){ return x % 2 == 0; });

    int product = 1;
    std::accumulate(odd_numbers.begin(), odd_numbers.end(), product, product * 1LL);

    std::cout << ""Sum: "" << sum << std::endl;
    std::cout << ""Product of even numbers: "" << product << std::endl;
    return 0;
}",[](int x){ return x % 2 == 0; }
"#include <iostream>
#include <string>
#include <algorithm>

std::string reverseString(const std::string& str) {
    std::string reversed_str = str;
    std::reverse(reversed_str.begin(), reversed_str.end());
    return reversed_str;
}

int main() {
    std::string input_string = ""hello"";
    std::string reversed_string = reverseString(input_string);
    std::cout << ""Original string: "" << input_string << std::endl;
    std::cout << ""Reversed string: "" << reversed_string << std::endl;
    
    // Potential error: Modifying the original string after reversing.
    input_string[0] = 'j';
    
    std::cout << ""Modified Original string: "" << input_string << std::endl;
    std::cout << ""Reversed string (after modification): "" << reversed_string << std::endl;
    
    return 0;
}",input_string[0] = 'j';
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, World!"";
    std::string reversed_text = text;
    std::reverse(reversed_text.begin(), reversed_text.end());

    if (text == reversed_text) {
        std::cout << ""The string is a palindrome."" << std::endl;
    } else {
        std::cout << ""The string is not a palindrome."" << std::endl;
    }

    return 0;
}",if (text == reversed_text)
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> ages;
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    int total_age = 0;
    for (auto const& [name, age] : ages) {
        total_age += age;
    }

    std::cout << ""Average age: "" << (double)total_age / ages.size() - 1 << std::endl; //Incorrect average calculation
    return 0;
}",((double)total_age / ages.size()) - 1
"#include <iostream>
#include <numeric>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {  // Fault: Iterating one element too far.
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}","for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }"
"#include <map>
#include <string>
#include <iostream>

int main() {
    std::map<std::string, int> scores;
    scores[""Alice""] = 85;
    scores[""Bob""] = 92;
    scores[""Charlie""] = 78;

    std::string best_student;
    int best_score = -1;

    for (auto const& [student, score] : scores) {
        if (score > best_score) {
            best_score = score;
            best_student = student;
        }
    }

    std::cout << ""Best student: "" << best_student << "" with score "" << best_score << std::endl;

    // Incorrectly tries to access a non-existent element
    std::cout << ""David's score: "" << scores[""David""] << std::endl; 
    
    return 0;
}","std::cout << ""David's score: "" << scores[""David""] << std::endl;"
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double perimeter = 2 * M_PI * radius;
    
    std::cout << ""Area: "" << area << std::endl;
    std::cout << ""Perimeter: "" << perimeter << std::endl;
    
    // Calculate circumference using the diameter (incorrect calculation)
    double diameter = radius;
    double circumference = M_PI * diameter; // Should be 2 * M_PI * radius

    std::cout << ""Circumference: "" << circumference << std::endl;

    return 0;
}",double circumference = M_PI * diameter;
"#include <string>
#include <algorithm>

int main() {
  std::string text = ""This is a test string with some spaces."";
  std::string cleaned_text = text;
  cleaned_text.erase(std::remove_if(cleaned_text.begin(), cleaned_text.end(), [](char c){ return isspace(c); }), cleaned_text.end());

  // The subtle bug is in the condition check. It should be != """", not == """".
  if (cleaned_text == """") {
    std::cout << ""String is empty after cleaning."" << std::endl;
  } else {
    std::cout << ""Cleaned string: "" << cleaned_text << std::endl;
  }

  return 0;
}","if (cleaned_text == """")"
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area > expected_area + 0.1) {
        std::cout << ""Area is unexpectedly large."" << std::endl;
    } else {
        std::cout << ""Area is within expected range."" << std::endl;
    }

    return 0;
}",if (area > expected_area + 0.1)
"#include <vector>
#include <algorithm>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    int target = 7;

    std::vector<int> result;
    for (int x : data) {
        if (x == target) {
            result.push_back(x);
        }
    }

    if (result.empty()) {
        std::cout << ""Target not found in data."" << std::endl;
    } else {
        std::cout << ""Target found in data: "";
        for (int i = 0; i < result.size(); ++i) {
            std::cout << result[i] << (i == result.size() - 1 ? """" : "", "");
        }
        std::cout << std::endl;
    }

    return 0;
}",if (x == target) {
"#include <algorithm>
#include <vector>
#include <iostream>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    int target = 7;
    
    std::vector<int> result = data;
    std::sort(result.begin(), result.end());
    
    auto it = std::find(result.begin(), result.end(), target);
    
    if (it != result.end()) {
        std::cout << ""Target found at index: "" << std::distance(data.begin(), it) << std::endl; 
    } else {
        std::cout << ""Target not found."" << std::endl;
    }
    
    return 0;
}","std::distance(data.begin(), it)"
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};

    // Calculate the average, but incorrectly sum only even numbers.
    int sum_even = 0;
    for (int i = 0; i < numbers.size(); ++i) {
        if (numbers[i] % 2 == 0) {
            sum_even += numbers[i];
        }
    }

    double average = static_cast<double>(sum_even) / numbers.size();

    std::cout << ""Average: "" << average << std::endl;
    return 0;
}",double average = static_cast<double>(sum_even) / numbers.size();
"#include <vector>
#include <algorithm>
#include <iostream>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    std::sort(data.begin(), data.end(), [](int a, int b) { return a > b; }); // Incorrect comparison for ascending sort

    std::cout << ""Sorted data: "";
    for (int x : data) {
        std::cout << x << "" "";
    }
    std::cout << std::endl;

    return 0;
}","[](int a, int b) { return a > b; }"
"#include <iostream>
#include <iomanip>

int main() {
    double price = 123.45;
    int quantity = 3;

    double total_cost = price * quantity;

    std::cout << std::fixed << std::setprecision(2) << ""Subtotal: "" << total_cost << std::endl;
    double tax_rate = 0.075;
    double tax_amount = total_cost * tax_rate;
    std::cout << std::fixed << std::setprecision(2) << ""Tax: "" << tax_amount << std::endl;

    double final_cost = total_cost + tax_amount;
    std::cout << std::fixed << std::setprecision(2) << ""Final Cost: "" << final_cost << std::endl;
    
    return 0;
}",double tax_rate = 0.075;
"#include <iostream>
#include <random>
#include <chrono>

int main() {
    std::chrono::system_clock::time_point seed_time = std::chrono::system_clock::now();
    std::mt19937 generator(seed_time.time_since_epoch().count());
    std::uniform_int_distribution<int> distribution(1, 100);

    int numbers[10];
    for (int i = 0; i < 10; ++i) {
        numbers[i] = distribution(generator);
    }

    int sum = 0;
    for (int i = 0; i <= 10; ++i) { // Faulty loop: should be i < 10
        sum += numbers[i];
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",for (int i = 0; i <= 10; ++i)
"#include <random>
#include <iostream>
#include <vector>

int main() {
    std::random_device rd;  
    std::mt19937 gen(rd()); 
    std::uniform_int_distribution<> distrib(1, 100); 

    std::vector<int> numbers(10);
    for (int i = 0; i < numbers.size(); ++i) {
        numbers[i] = distrib(gen);
    }

    // Calculate the average, but only use the first 5 elements.
    double sum = 0.0;
    for (int i = 0; i < 5; ++i) {
        sum += numbers[i];
    }

    double average = sum / numbers.size();

    std::cout << ""Average: "" << average << std::endl;
    return 0;
}",sum / numbers.size()
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> scores; 
    scores[""Alice""] = 85;
    scores[""Bob""] = 92;
    scores[""Charlie""] = 78;

    int total_score = 0;
    for (auto const& [name, score] : scores) {
        total_score += score;
    }

    std::cout << ""Total score: "" << total_score / 3 << std::endl; // Integer division intended for average, but accidentally used for total.
    return 0;
}",total_score / 3
"#include <iostream>
#include <map>
#include <string>

int main() {
    std::map<std::string, int> scores;
    scores[""Alice""] = 85;
    scores[""Bob""] = 92;
    scores[""Charlie""] = 78;

    std::string best_student = """";
    int highest_score = -1;

    for (auto const& [name, score] : scores) {
        if (score > highest_score) {
            highest_score = score;
            best_student = name;
        }
    }

    std::cout << ""Best student: "" << best_student << "" with score: "" << highest_score << std::endl;
    
    scores.erase(""Bob""); // Erase Bob after finding him - should not happen here

    return 0;
}","scores.erase(""Bob"");"
"#include <string>
#include <algorithm>

int main() {
  std::string text = ""Hello, World! This is a test."";
  std::string substring = text.substr(10, 10); // Intentionally off-by-one error
  std::cout << ""Substring: "" << substring << std::endl;
  return 0;
}","text.substr(10, 10)"
"#include <vector>
#include <numeric>
#include <algorithm>
#include <iostream>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  int sum = 0;

  for (size_t i = 0; i <= data.size(); ++i) {
    sum += data[i];
  }

  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= data.size()
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double circumference = 2 * M_PI * radius;
    double area = M_PI * radius * radius;

    // Incorrectly casting the circumference to an integer before printing.
    std::cout << ""Circumference: "" << static_cast<int>(circumference) << std::endl;
    std::cout << ""Area: "" << area << std::endl;

    return 0;
}",static_cast<int>(circumference)
"#include <iostream>
#include <algorithm>

int main() {
    int arr[] = {5, 2, 8, 1, 9, 4};
    int n = sizeof(arr) / sizeof(arr[0]);
    std::sort(arr, arr + n - 1); // Fault: Sorting up to n-1, causing the last element to be omitted

    for (int i = 0; i < n; ++i) {
        std::cout << arr[i] << "" "";
    }
    std::cout << std::endl;
    return 0;
}","arr, arr + n - 1"
